epoch, loss, acc, lr
13900,0.144940446,0.9596875,0.01
14000,0.136223001,0.9615625,0.01
14100,0.139176764,0.9615625,0.01
14200,0.165567011,0.951875,0.01
14300,0.13788665,0.9628125,0.01
14400,0.143977109,0.958125,0.01
14500,0.152013598,0.9565625,0.01
14600,0.148024929,0.9596875,0.01
14700,0.139406386,0.9590625,0.01
14800,0.167042237,0.951875,0.01
14900,0.146379183,0.961875,0.01
15000,0.133379281,0.96375,0.01
15100,0.146047738,0.9546875,0.01
15200,0.137462692,0.958125,0.01
15300,0.140020945,0.9609375,0.01
15400,0.128188536,0.9640625,0.01
15500,0.143018027,0.9578125,0.01
15600,0.14691544,0.9575,0.01
15700,0.161298738,0.9509375,0.01
15800,0.15394114,0.9559375,0.01
15900,0.137681479,0.9603125,0.01
16000,0.152756919,0.956875,0.01
16100,0.126915421,0.9684375,0.01
16200,0.137519118,0.958125,0.01
16300,0.135053984,0.9628125,0.01
16400,0.129828486,0.9634375,0.01
16500,0.125186507,0.9653125,0.01
16600,0.12605711,0.9628125,0.01
16700,0.123914133,0.9675,0.01
16800,0.141084567,0.9621875,0.01
16900,0.135443335,0.9603125,0.01
17000,0.119786233,0.9646875,0.01
17100,0.13862348,0.9625,0.01
17200,0.13583456,0.955625,0.01
17300,0.138419289,0.9628125,0.01
17400,0.124433155,0.9634375,0.01
17500,0.133663872,0.9640625,0.01
17600,0.127627531,0.9646875,0.01
17700,0.121872242,0.96375,0.01
17800,0.124796394,0.9625,0.01
17900,0.114249918,0.969375,0.01
18000,0.115835476,0.9690625,0.01
18100,0.122168987,0.9646875,0.01
18200,0.133327366,0.9678125,0.01
18300,0.131630026,0.9640625,0.01
18400,0.098578253,0.9725,0.01
18500,0.118790833,0.9646875,0.01
18600,0.106144894,0.9678125,0.01
18700,0.127432925,0.966875,0.01
18800,0.110978137,0.9678125,0.01
18900,0.127437904,0.9659375,0.01
19000,0.129894543,0.9665625,0.01
19100,0.118876692,0.963125,0.01
19200,0.122356444,0.963125,0.01
19300,0.096720132,0.9721875,0.01
19400,0.122764582,0.963125,0.01
19500,0.10425164,0.9684375,0.01
19600,0.137430493,0.95875,0.01
19700,0.110662881,0.968125,0.01
19800,0.116547835,0.9653125,0.01
19900,0.101270032,0.9696875,0.01
20000,0.11123048,0.969375,0.01
20100,0.110185905,0.9665625,0.01
20200,0.109735865,0.97,0.01
20300,0.113891483,0.9684375,0.01
20400,0.096678717,0.9728125,0.01
20500,0.112300679,0.965625,0.01
20600,0.102898769,0.9690625,0.01
20700,0.095220557,0.9740625,0.01
20800,0.101782327,0.9734375,0.01
20900,0.113228235,0.965625,0.01
21000,0.101475545,0.9696875,0.01
21100,0.101787166,0.9740625,0.01
21200,0.110207863,0.969375,0.01
21300,0.093220349,0.9728125,0.01
21400,0.113979021,0.966875,0.01
21500,0.118357722,0.964375,0.01
21600,0.109140371,0.9653125,0.01
21700,0.112155726,0.9690625,0.01
21800,0.119124468,0.965625,0.01
21900,0.115001899,0.968125,0.01
22000,0.116809041,0.9678125,0.01
22100,0.105156663,0.968125,0.01
22200,0.106923141,0.9703125,0.01
22300,0.107986041,0.97125,0.01
22400,0.102977009,0.9709375,0.01
22500,0.108985224,0.9709375,0.01
22600,0.116186837,0.9696875,0.01
22700,0.091406077,0.9728125,0.01
22800,0.105638464,0.9690625,0.01
22900,0.096294488,0.976875,0.01
23000,0.082879493,0.9753125,0.01
23100,0.093264255,0.973125,0.01
23200,0.105791887,0.96875,0.01
23300,0.116486222,0.96625,0.01
23400,0.087376792,0.975625,0.01
23500,0.103091353,0.971875,0.01
23600,0.103262355,0.9684375,0.01
23700,0.094620288,0.975625,0.01
23800,0.08117918,0.9778125,0.01
23900,0.100874156,0.9715625,0.01
24000,0.081885824,0.9790625,0.01
24100,0.090020802,0.976875,0.01
24200,0.10196075,0.970625,0.01
24300,0.092935876,0.975625,0.01
24400,0.110772953,0.9709375,0.01
24500,0.103648914,0.9725,0.01
24600,0.088739566,0.975,0.01
24700,0.077074402,0.979375,0.01
24800,0.102186749,0.9709375,0.01
24900,0.100039107,0.9740625,0.01
25000,0.093508123,0.9753125,0.01
25100,0.093913314,0.975,0.01
25200,0.088377196,0.975625,0.01
25300,0.086782769,0.976875,0.01
25400,0.101333778,0.9690625,0.01
25500,0.09774688,0.973125,0.01
25600,0.101690648,0.96875,0.01
25700,0.086652938,0.976875,0.01
25800,0.095083435,0.97,0.01
25900,0.079949251,0.9790625,0.01
26000,0.092771715,0.972321429,0.01
